State,Event Count
Mississippi,3
Oklahoma,80
Wyoming,394
Minnesota,902
Illinois,551
Arkansas,400
New Mexico,8252
Ohio,1435
Indiana,3391
Maryland,9574
Louisiana,3
Texas,301
Arizona,1437
Iowa,125
Michigan,4903
Kansas,1939
Utah,142
Virginia,733
Oregon,8
Connecticut,0
Tennessee,6
New Hampshire,0
Massachusetts,472
West Virginia,138
South Carolina,0
California,91782
Vermont,0
Georgia,1377
North Dakota,55
Pennsylvania,117
Florida,3161
Alaska,2
Kentucky,165
Hawaii,945
Nebraska,26
Missouri,11147
Wisconsin,137204
Alabama,52
Rhode Island,0
South Dakota,210
Colorado,6448
Idaho,123
New Jersey,13758
Washington,1027
North Carolina,419
New York,5611
Montana,2
Nevada,23
Delaware,0
Maine,0
